draft_round,draft_pick,team,player_name,Pos,age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,rec_yards,rec_td,Int,Att.1,Yds.1,TD.1,rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28,-9999,rookie_year,Unnamed: 0,Rookie Year,avg_depth_of_target,avoided_tackles,caught_percent,grades_offense,longest,routes_run,targeted_qb_rating,targets,yac,yards_after_catch_per_reception,yards_per_reception,yprr,ypt,"1,000 Yard Seasons",contested_catch_pct,drop_rate,grades_hands_drop,player_name_rec,player_id,position,team_rec,player_game_count,avg_depth_of_target_rec,avoided_tackles_rec,caught_percent_rec,contested_catch_pct_rec,contested_receptions,contested_targets,declined_penalties,drop_rate_rec,drops,first_downs,franchise_id,fumbles,grades_hands_drop_rec,grades_hands_fumble,grades_offense_rec,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest_rec,pass_block_rate,pass_blocks,pass_plays,penalties,rec_rec,route_rate,routes_run_rec,slot_rate,slot_snaps,targeted_qb_rating_rec,targets_rec,rec_td_rec,wide_rate,wide_snaps,rec_yards_rec,yac_rec,yards_after_catch_per_reception_rec,yards_per_reception_rec,yprr_rec,season,has_1000_yard_season,thousand_yard_seasons,catch_rate,yards_per_route_run
1.0,9.0,MIA,Ted Ginn,WR,22.0,2020.0,0.0,0.0,7.0,52.0,15.0,193.0,1.0,1.0,10.0,0.0,0.0,68.0,486.0,2.0,412.0,5742.0,33.0,6.0,,,Ohio St.,College Stats,GinnTe00,2007.0,,,,,,,,0.0,,0.0,0.0,,0.024271844660194174,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1.0,23.0,KAN,Dwayne Bowe,WR,22.0,2015.0,0.0,1.0,8.0,50.0,50.0,125.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,537.0,7208.0,44.0,,,,LSU,College Stats,BoweDw00,2007.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,0.0
1.0,27.0,NOR,Robert Meachem,WR,22.0,2014.0,0.0,0.0,1.0,26.0,25.0,103.0,0.0,0.0,0.0,0.0,0.0,18.0,127.0,1.0,178.0,2914.0,27.0,,,,Tennessee,College Stats,MeacRo00,2007.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1.0,30.0,SDG,Craig Davis,WR,21.0,2010.0,0.0,0.0,0.0,7.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,0.0,51.0,558.0,2.0,,,,LSU,College Stats,DaviCr00,2007.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1.0,32.0,IND,Anthony Gonzalez,WR,22.0,2011.0,0.0,0.0,1.0,16.0,16.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,1307.0,7.0,,,,Ohio St.,College Stats,GonzAn00,2007.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
2.0,44.0,MIN,Sidney Rice,WR,21.0,2013.0,0.0,1.0,3.0,33.0,20.0,81.0,4.0,7.0,174.0,0.0,0.0,4.0,9.0,0.0,243.0,3592.0,30.0,,,,South Carolina,College Stats,RiceSi01,2007.0,,,,,,,,0.0,,0.0,0.0,,0.7160493827160493,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0
2.0,45.0,CAR,Dwayne Jarrett,WR,20.0,2010.0,0.0,0.0,0.0,4.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,35.0,428.0,1.0,,,,USC,College Stats,JarrDw00,2007.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
2.0,51.0,NYG,Steve Smith,WR,22.0,2012.0,0.0,1.0,1.0,23.0,21.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,2641.0,12.0,,,,USC,College Stats,SmitSt02,2007.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
3.0,73.0,HOU,Jacoby Jones,WR,23.0,2015.0,1.0,1.0,2.0,30.0,18.0,128.0,0.0,0.0,0.0,0.0,0.0,19.0,62.0,0.0,203.0,2733.0,14.0,1.0,,,Lane,,JoneJa03,2007.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
3.0,74.0,BAL,Yamon Figurs,WR,24.0,2010.0,0.0,0.0,0.0,2.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0,3.0,-7.0,0.0,5.0,103.0,1.0,4.0,,,Kansas St.,College Stats,FiguYa00,2007.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
